Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Europe,The Netherlands,,Amsterdam,3,23,1995,44.2,1995-03-23
Europe,The Netherlands,,Amsterdam,3,24,1995,47.8,1995-03-24
Europe,The Netherlands,,Amsterdam,3,25,1995,45.9,1995-03-25
Europe,The Netherlands,,Amsterdam,3,26,1995,47.3,1995-03-26
Europe,The Netherlands,,Amsterdam,3,27,1995,39.8,1995-03-27
Europe,The Netherlands,,Amsterdam,3,28,1995,35.2,1995-03-28
Europe,The Netherlands,,Amsterdam,3,29,1995,38.5,1995-03-29
Europe,The Netherlands,,Amsterdam,3,30,1995,40.5,1995-03-30
Europe,The Netherlands,,Amsterdam,3,31,1995,47,1995-03-31
Europe,The Netherlands,,Amsterdam,4,1,1995,52.4,1995-04-01
Europe,The Netherlands,,Amsterdam,4,2,1995,51.6,1995-04-02
Europe,The Netherlands,,Amsterdam,4,3,1995,48.5,1995-04-03
Europe,The Netherlands,,Amsterdam,4,4,1995,46.5,1995-04-04
Europe,The Netherlands,,Amsterdam,4,5,1995,46.9,1995-04-05
Europe,The Netherlands,,Amsterdam,4,6,1995,49.5,1995-04-06
Europe,The Netherlands,,Amsterdam,4,7,1995,49.3,1995-04-07
Europe,The Netherlands,,Amsterdam,4,8,1995,43.2,1995-04-08
Europe,The Netherlands,,Amsterdam,4,9,1995,43,1995-04-09
Europe,The Netherlands,,Amsterdam,4,10,1995,46.3,1995-04-10
Europe,The Netherlands,,Amsterdam,4,11,1995,50.1,1995-04-11
Europe,The Netherlands,,Amsterdam,4,12,1995,49.2,1995-04-12
Europe,The Netherlands,,Amsterdam,4,13,1995,47.7,1995-04-13
Europe,The Netherlands,,Amsterdam,4,14,1995,47.5,1995-04-14
Europe,The Netherlands,,Amsterdam,4,15,1995,45.6,1995-04-15
Europe,The Netherlands,,Amsterdam,4,16,1995,45.1,1995-04-16
Europe,The Netherlands,,Amsterdam,4,17,1995,47.3,1995-04-17
Europe,The Netherlands,,Amsterdam,4,18,1995,45,1995-04-18
Europe,The Netherlands,,Amsterdam,4,19,1995,41.8,1995-04-19
Europe,The Netherlands,,Amsterdam,4,20,1995,40.1,1995-04-20
Europe,The Netherlands,,Amsterdam,4,21,1995,44.4,1995-04-21
Europe,The Netherlands,,Amsterdam,4,22,1995,51.7,1995-04-22
Europe,The Netherlands,,Amsterdam,4,23,1995,51.3,1995-04-23
Europe,The Netherlands,,Amsterdam,4,24,1995,60.6,1995-04-24
Europe,The Netherlands,,Amsterdam,4,25,1995,60.8,1995-04-25
Europe,The Netherlands,,Amsterdam,4,26,1995,56.2,1995-04-26
Europe,The Netherlands,,Amsterdam,4,27,1995,46.6,1995-04-27
Europe,The Netherlands,,Amsterdam,4,28,1995,44.7,1995-04-28
Europe,The Netherlands,,Amsterdam,4,29,1995,47.6,1995-04-29
Europe,The Netherlands,,Amsterdam,4,30,1995,50.2,1995-04-30
Europe,The Netherlands,,Amsterdam,5,1,1995,53.2,1995-05-01
Europe,The Netherlands,,Amsterdam,5,2,1995,59.4,1995-05-02
Europe,The Netherlands,,Amsterdam,5,3,1995,61.2,1995-05-03
Europe,The Netherlands,,Amsterdam,5,4,1995,63,1995-05-04
Europe,The Netherlands,,Amsterdam,5,5,1995,63.9,1995-05-05
Europe,The Netherlands,,Amsterdam,5,6,1995,61.3,1995-05-06
Europe,The Netherlands,,Amsterdam,5,7,1995,62.5,1995-05-07
Europe,The Netherlands,,Amsterdam,5,8,1995,54,1995-05-08
Europe,The Netherlands,,Amsterdam,5,9,1995,49.1,1995-05-09
Europe,The Netherlands,,Amsterdam,5,10,1995,50,1995-05-10
Europe,The Netherlands,,Amsterdam,5,11,1995,46.9,1995-05-11
Europe,The Netherlands,,Amsterdam,5,12,1995,47.5,1995-05-12
Europe,The Netherlands,,Amsterdam,5,13,1995,47.4,1995-05-13
Europe,The Netherlands,,Amsterdam,5,14,1995,46.2,1995-05-14
Europe,The Netherlands,,Amsterdam,5,15,1995,49.7,1995-05-15
Europe,The Netherlands,,Amsterdam,5,16,1995,51.2,1995-05-16
Europe,The Netherlands,,Amsterdam,5,17,1995,50.1,1995-05-17
Europe,The Netherlands,,Amsterdam,5,18,1995,46.8,1995-05-18
Europe,The Netherlands,,Amsterdam,5,19,1995,47.8,1995-05-19
Europe,The Netherlands,,Amsterdam,5,20,1995,50.3,1995-05-20
Europe,The Netherlands,,Amsterdam,5,21,1995,48.2,1995-05-21
Europe,The Netherlands,,Amsterdam,5,22,1995,51.6,1995-05-22
Europe,The Netherlands,,Amsterdam,5,23,1995,60,1995-05-23
Europe,The Netherlands,,Amsterdam,5,24,1995,62.8,1995-05-24
Europe,The Netherlands,,Amsterdam,5,25,1995,60.4,1995-05-25
Europe,The Netherlands,,Amsterdam,5,26,1995,61.5,1995-05-26
Europe,The Netherlands,,Amsterdam,5,27,1995,61,1995-05-27
Europe,The Netherlands,,Amsterdam,5,28,1995,63.4,1995-05-28
Europe,The Netherlands,,Amsterdam,5,29,1995,59.9,1995-05-29
Europe,The Netherlands,,Amsterdam,5,30,1995,56.7,1995-05-30
Europe,The Netherlands,,Amsterdam,5,31,1995,56.6,1995-05-31
Europe,The Netherlands,,Amsterdam,6,1,1995,53.3,1995-06-01
Europe,The Netherlands,,Amsterdam,6,2,1995,55.6,1995-06-02
Europe,The Netherlands,,Amsterdam,6,3,1995,58,1995-06-03
Europe,The Netherlands,,Amsterdam,6,4,1995,57.3,1995-06-04
Europe,The Netherlands,,Amsterdam,6,5,1995,55,1995-06-05
Europe,The Netherlands,,Amsterdam,6,6,1995,54.4,1995-06-06
Europe,The Netherlands,,Amsterdam,6,7,1995,53.8,1995-06-07
Europe,The Netherlands,,Amsterdam,6,8,1995,51.5,1995-06-08
Europe,The Netherlands,,Amsterdam,6,9,1995,50.7,1995-06-09
Europe,The Netherlands,,Amsterdam,6,10,1995,53,1995-06-10
Europe,The Netherlands,,Amsterdam,6,11,1995,53.2,1995-06-11
Europe,The Netherlands,,Amsterdam,6,12,1995,52.3,1995-06-12
Europe,The Netherlands,,Amsterdam,6,13,1995,53.8,1995-06-13
Europe,The Netherlands,,Amsterdam,6,14,1995,52.6,1995-06-14
Europe,The Netherlands,,Amsterdam,6,15,1995,51.6,1995-06-15
Europe,The Netherlands,,Amsterdam,6,16,1995,51.8,1995-06-16
Europe,The Netherlands,,Amsterdam,6,17,1995,55.7,1995-06-17
Europe,The Netherlands,,Amsterdam,6,18,1995,58.9,1995-06-18
Europe,The Netherlands,,Amsterdam,6,19,1995,60.3,1995-06-19
Europe,The Netherlands,,Amsterdam,6,20,1995,65.1,1995-06-20
Europe,The Netherlands,,Amsterdam,6,21,1995,58,1995-06-21
Europe,The Netherlands,,Amsterdam,6,22,1995,54.3,1995-06-22
Europe,The Netherlands,,Amsterdam,6,23,1995,57.6,1995-06-23
Europe,The Netherlands,,Amsterdam,6,24,1995,60.4,1995-06-24
Europe,The Netherlands,,Amsterdam,6,25,1995,63.1,1995-06-25
Europe,The Netherlands,,Amsterdam,6,26,1995,65.1,1995-06-26
Europe,The Netherlands,,Amsterdam,6,27,1995,70.5,1995-06-27
Europe,The Netherlands,,Amsterdam,6,28,1995,72.1,1995-06-28
Europe,The Netherlands,,Amsterdam,6,29,1995,65.2,1995-06-29
Europe,The Netherlands,,Amsterdam,6,30,1995,66.2,1995-06-30
Europe,The Netherlands,,Amsterdam,7,1,1995,62.1,1995-07-01
Europe,The Netherlands,,Amsterdam,7,2,1995,64.2,1995-07-02
Europe,The Netherlands,,Amsterdam,7,3,1995,56.2,1995-07-03
Europe,The Netherlands,,Amsterdam,7,4,1995,57.7,1995-07-04
Europe,The Netherlands,,Amsterdam,7,5,1995,60.9,1995-07-05
Europe,The Netherlands,,Amsterdam,7,6,1995,63.2,1995-07-06
Europe,The Netherlands,,Amsterdam,7,7,1995,63.4,1995-07-07
Europe,The Netherlands,,Amsterdam,7,8,1995,67.6,1995-07-08
Europe,The Netherlands,,Amsterdam,7,9,1995,69.1,1995-07-09
Europe,The Netherlands,,Amsterdam,7,10,1995,75.1,1995-07-10
Europe,The Netherlands,,Amsterdam,7,11,1995,74.6,1995-07-11
Europe,The Netherlands,,Amsterdam,7,12,1995,68.2,1995-07-12
Europe,The Netherlands,,Amsterdam,7,13,1995,71.2,1995-07-13
Europe,The Netherlands,,Amsterdam,7,14,1995,68.5,1995-07-14
Europe,The Netherlands,,Amsterdam,7,15,1995,65.8,1995-07-15
Europe,The Netherlands,,Amsterdam,7,16,1995,64.1,1995-07-16
Europe,The Netherlands,,Amsterdam,7,17,1995,64.3,1995-07-17
Europe,The Netherlands,,Amsterdam,7,18,1995,63.9,1995-07-18
Europe,The Netherlands,,Amsterdam,7,19,1995,67.3,1995-07-19
Europe,The Netherlands,,Amsterdam,7,20,1995,70.2,1995-07-20
Europe,The Netherlands,,Amsterdam,7,21,1995,71.6,1995-07-21
Europe,The Netherlands,,Amsterdam,7,22,1995,62.3,1995-07-22
Europe,The Netherlands,,Amsterdam,7,23,1995,61.5,1995-07-23
Europe,The Netherlands,,Amsterdam,7,24,1995,64.8,1995-07-24
Europe,The Netherlands,,Amsterdam,7,25,1995,66.2,1995-07-25
Europe,The Netherlands,,Amsterdam,7,26,1995,72.9,1995-07-26
Europe,The Netherlands,,Amsterdam,7,27,1995,67.9,1995-07-27
Europe,The Netherlands,,Amsterdam,7,28,1995,67.8,1995-07-28
Europe,The Netherlands,,Amsterdam,7,29,1995,69.6,1995-07-29
Europe,The Netherlands,,Amsterdam,7,30,1995,74.3,1995-07-30
Europe,The Netherlands,,Amsterdam,7,31,1995,78.1,1995-07-31
Europe,The Netherlands,,Amsterdam,8,1,1995,77.8,1995-08-01
Europe,The Netherlands,,Amsterdam,8,2,1995,75.3,1995-08-02
Europe,The Netherlands,,Amsterdam,8,3,1995,72.6,1995-08-03
Europe,The Netherlands,,Amsterdam,8,4,1995,65.7,1995-08-04
Europe,The Netherlands,,Amsterdam,8,5,1995,66.5,1995-08-05
Europe,The Netherlands,,Amsterdam,8,6,1995,69.7,1995-08-06
Europe,The Netherlands,,Amsterdam,8,7,1995,64.4,1995-08-07
Europe,The Netherlands,,Amsterdam,8,8,1995,63.4,1995-08-08
Europe,The Netherlands,,Amsterdam,8,9,1995,65.7,1995-08-09
Europe,The Netherlands,,Amsterdam,8,10,1995,69.6,1995-08-10
Europe,The Netherlands,,Amsterdam,8,11,1995,73.5,1995-08-11
Europe,The Netherlands,,Amsterdam,8,12,1995,71.7,1995-08-12
Europe,The Netherlands,,Amsterdam,8,13,1995,67,1995-08-13
Europe,The Netherlands,,Amsterdam,8,14,1995,62.8,1995-08-14
Europe,The Netherlands,,Amsterdam,8,15,1995,63.5,1995-08-15
Europe,The Netherlands,,Amsterdam,8,16,1995,65.9,1995-08-16
Europe,The Netherlands,,Amsterdam,8,17,1995,71.4,1995-08-17
Europe,The Netherlands,,Amsterdam,8,18,1995,73.5,1995-08-18
Europe,The Netherlands,,Amsterdam,8,19,1995,74.7,1995-08-19
Europe,The Netherlands,,Amsterdam,8,20,1995,70.6,1995-08-20
Europe,The Netherlands,,Amsterdam,8,21,1995,68.7,1995-08-21
Europe,The Netherlands,,Amsterdam,8,22,1995,72,1995-08-22
Europe,The Netherlands,,Amsterdam,8,23,1995,71,1995-08-23
Europe,The Netherlands,,Amsterdam,8,24,1995,67.3,1995-08-24
Europe,The Netherlands,,Amsterdam,8,25,1995,67.1,1995-08-25
Europe,The Netherlands,,Amsterdam,8,26,1995,62.9,1995-08-26
Europe,The Netherlands,,Amsterdam,8,27,1995,58.9,1995-08-27
Europe,The Netherlands,,Amsterdam,8,28,1995,58.4,1995-08-28
Europe,The Netherlands,,Amsterdam,8,29,1995,57.1,1995-08-29
Europe,The Netherlands,,Amsterdam,8,30,1995,58.7,1995-08-30
Europe,The Netherlands,,Amsterdam,8,31,1995,59.4,1995-08-31
Europe,The Netherlands,,Amsterdam,9,1,1995,60,1995-09-01
Europe,The Netherlands,,Amsterdam,9,2,1995,61.2,1995-09-02
Europe,The Netherlands,,Amsterdam,9,3,1995,56.6,1995-09-03
Europe,The Netherlands,,Amsterdam,9,4,1995,58.7,1995-09-04
Europe,The Netherlands,,Amsterdam,9,5,1995,58.8,1995-09-05
Europe,The Netherlands,,Amsterdam,9,6,1995,58.3,1995-09-06
Europe,The Netherlands,,Amsterdam,9,7,1995,60.6,1995-09-07
Europe,The Netherlands,,Amsterdam,9,8,1995,60.4,1995-09-08
Europe,The Netherlands,,Amsterdam,9,9,1995,61.4,1995-09-09
Europe,The Netherlands,,Amsterdam,9,10,1995,62.8,1995-09-10
Europe,The Netherlands,,Amsterdam,9,11,1995,61.1,1995-09-11
Europe,The Netherlands,,Amsterdam,9,12,1995,59.3,1995-09-12
Europe,The Netherlands,,Amsterdam,9,13,1995,59.1,1995-09-13
Europe,The Netherlands,,Amsterdam,9,14,1995,57.8,1995-09-14
Europe,The Netherlands,,Amsterdam,9,15,1995,58,1995-09-15
Europe,The Netherlands,,Amsterdam,9,16,1995,58.1,1995-09-16
Europe,The Netherlands,,Amsterdam,9,17,1995,59,1995-09-17
Europe,The Netherlands,,Amsterdam,9,18,1995,61.5,1995-09-18
Europe,The Netherlands,,Amsterdam,9,19,1995,61.3,1995-09-19
Europe,The Netherlands,,Amsterdam,9,20,1995,57.1,1995-09-20
Europe,The Netherlands,,Amsterdam,9,21,1995,56,1995-09-21
Europe,The Netherlands,,Amsterdam,9,22,1995,58.4,1995-09-22
Europe,The Netherlands,,Amsterdam,9,23,1995,58,1995-09-23
Europe,The Netherlands,,Amsterdam,9,24,1995,56.1,1995-09-24
Europe,The Netherlands,,Amsterdam,9,25,1995,56.2,1995-09-25
Europe,The Netherlands,,Amsterdam,9,26,1995,57,1995-09-26
Europe,The Netherlands,,Amsterdam,9,27,1995,54.5,1995-09-27
Europe,The Netherlands,,Amsterdam,9,28,1995,49,1995-09-28
Europe,The Netherlands,,Amsterdam,9,29,1995,52.7,1995-09-29
Europe,The Netherlands,,Amsterdam,9,30,1995,50,1995-09-30
Europe,The Netherlands,,Amsterdam,10,1,1995,53.9,1995-10-01
Europe,The Netherlands,,Amsterdam,10,2,1995,54.6,1995-10-02
Europe,The Netherlands,,Amsterdam,10,3,1995,58.1,1995-10-03
Europe,The Netherlands,,Amsterdam,10,4,1995,61.9,1995-10-04
Europe,The Netherlands,,Amsterdam,10,5,1995,57.4,1995-10-05
Europe,The Netherlands,,Amsterdam,10,6,1995,56.4,1995-10-06
Europe,The Netherlands,,Amsterdam,10,7,1995,60.4,1995-10-07
Europe,The Netherlands,,Amsterdam,10,8,1995,62.6,1995-10-08
Europe,The Netherlands,,Amsterdam,10,9,1995,61.6,1995-10-09
Europe,The Netherlands,,Amsterdam,10,10,1995,58.4,1995-10-10
Europe,The Netherlands,,Amsterdam,10,11,1995,58.9,1995-10-11
Europe,The Netherlands,,Amsterdam,10,12,1995,59.6,1995-10-12
Europe,The Netherlands,,Amsterdam,10,13,1995,57.6,1995-10-13
Europe,The Netherlands,,Amsterdam,10,14,1995,57.5,1995-10-14
Europe,The Netherlands,,Amsterdam,10,15,1995,59,1995-10-15
Europe,The Netherlands,,Amsterdam,10,16,1995,56.8,1995-10-16
Europe,The Netherlands,,Amsterdam,10,17,1995,57.8,1995-10-17
Europe,The Netherlands,,Amsterdam,10,18,1995,56.4,1995-10-18
Europe,The Netherlands,,Amsterdam,10,19,1995,56.4,1995-10-19
Europe,The Netherlands,,Amsterdam,10,20,1995,53.9,1995-10-20
Europe,The Netherlands,,Amsterdam,10,21,1995,45.7,1995-10-21
Europe,The Netherlands,,Amsterdam,10,22,1995,45,1995-10-22
Europe,The Netherlands,,Amsterdam,10,23,1995,49.4,1995-10-23
Europe,The Netherlands,,Amsterdam,10,24,1995,58.3,1995-10-24
Europe,The Netherlands,,Amsterdam,10,25,1995,57,1995-10-25
Europe,The Netherlands,,Amsterdam,10,26,1995,54.6,1995-10-26
Europe,The Netherlands,,Amsterdam,10,27,1995,57.1,1995-10-27
Europe,The Netherlands,,Amsterdam,10,28,1995,48.3,1995-10-28
Europe,The Netherlands,,Amsterdam,10,29,1995,42.9,1995-10-29
Europe,The Netherlands,,Amsterdam,10,30,1995,43.4,1995-10-30
Europe,The Netherlands,,Amsterdam,10,31,1995,48.4,1995-10-31
Europe,The Netherlands,,Amsterdam,11,1,1995,49.7,1995-11-01
Europe,The Netherlands,,Amsterdam,11,2,1995,47.1,1995-11-02
Europe,The Netherlands,,Amsterdam,11,3,1995,46.9,1995-11-03
Europe,The Netherlands,,Amsterdam,11,4,1995,37,1995-11-04
Europe,The Netherlands,,Amsterdam,11,5,1995,34.6,1995-11-05
Europe,The Netherlands,,Amsterdam,11,6,1995,38.2,1995-11-06
Europe,The Netherlands,,Amsterdam,11,7,1995,46.3,1995-11-07
Europe,The Netherlands,,Amsterdam,11,8,1995,51.2,1995-11-08
Europe,The Netherlands,,Amsterdam,11,9,1995,52.1,1995-11-09
Europe,The Netherlands,,Amsterdam,11,10,1995,47.7,1995-11-10
Europe,The Netherlands,,Amsterdam,11,11,1995,52.1,1995-11-11
Europe,The Netherlands,,Amsterdam,11,12,1995,50.7,1995-11-12
Europe,The Netherlands,,Amsterdam,11,13,1995,44.3,1995-11-13
Europe,The Netherlands,,Amsterdam,11,14,1995,49.7,1995-11-14
Europe,The Netherlands,,Amsterdam,11,15,1995,49.1,1995-11-15
Europe,The Netherlands,,Amsterdam,11,16,1995,48.7,1995-11-16
Europe,The Netherlands,,Amsterdam,11,17,1995,37.9,1995-11-17
Europe,The Netherlands,,Amsterdam,11,18,1995,39,1995-11-18
Europe,The Netherlands,,Amsterdam,11,19,1995,45.7,1995-11-19
Europe,The Netherlands,,Amsterdam,11,20,1995,40.6,1995-11-20
Europe,The Netherlands,,Amsterdam,11,21,1995,36.2,1995-11-21
Europe,The Netherlands,,Amsterdam,11,22,1995,42.5,1995-11-22
Europe,The Netherlands,,Amsterdam,11,23,1995,48.3,1995-11-23
Europe,The Netherlands,,Amsterdam,11,24,1995,48.5,1995-11-24
Europe,The Netherlands,,Amsterdam,11,25,1995,48.4,1995-11-25
Europe,The Netherlands,,Amsterdam,11,26,1995,48.4,1995-11-26
Europe,The Netherlands,,Amsterdam,11,27,1995,45.5,1995-11-27
Europe,The Netherlands,,Amsterdam,11,28,1995,43,1995-11-28
Europe,The Netherlands,,Amsterdam,11,29,1995,40.8,1995-11-29
Europe,The Netherlands,,Amsterdam,11,30,1995,38.3,1995-11-30
Europe,The Netherlands,,Amsterdam,12,1,1995,37,1995-12-01
Europe,The Netherlands,,Amsterdam,12,2,1995,36.1,1995-12-02
Europe,The Netherlands,,Amsterdam,12,3,1995,34.4,1995-12-03
Europe,The Netherlands,,Amsterdam,12,4,1995,32.3,1995-12-04
Europe,The Netherlands,,Amsterdam,12,5,1995,28.1,1995-12-05
Europe,The Netherlands,,Amsterdam,12,6,1995,24.7,1995-12-06
Europe,The Netherlands,,Amsterdam,12,7,1995,26.1,1995-12-07
Europe,The Netherlands,,Amsterdam,12,8,1995,26.5,1995-12-08
Europe,The Netherlands,,Amsterdam,12,9,1995,29.2,1995-12-09
Europe,The Netherlands,,Amsterdam,12,10,1995,28.7,1995-12-10
Europe,The Netherlands,,Amsterdam,12,11,1995,31.7,1995-12-11
Europe,The Netherlands,,Amsterdam,12,12,1995,36.2,1995-12-12
Europe,The Netherlands,,Amsterdam,12,13,1995,32.7,1995-12-13
Europe,The Netherlands,,Amsterdam,12,14,1995,32.4,1995-12-14
Europe,The Netherlands,,Amsterdam,12,15,1995,30.5,1995-12-15
Europe,The Netherlands,,Amsterdam,12,16,1995,28.6,1995-12-16
Europe,The Netherlands,,Amsterdam,12,17,1995,29.1,1995-12-17
Europe,The Netherlands,,Amsterdam,12,18,1995,32.1,1995-12-18
Europe,The Netherlands,,Amsterdam,12,19,1995,34.8,1995-12-19
Europe,The Netherlands,,Amsterdam,12,20,1995,34.4,1995-12-20
Europe,The Netherlands,,Amsterdam,12,21,1995,30.6,1995-12-21
Europe,The Netherlands,,Amsterdam,12,22,1995,42.8,1995-12-22
Europe,The Netherlands,,Amsterdam,12,23,1995,42.6,1995-12-23
Europe,The Netherlands,,Amsterdam,12,24,1995,32.1,1995-12-24
Europe,The Netherlands,,Amsterdam,12,25,1995,32,1995-12-25
Europe,The Netherlands,,Amsterdam,12,26,1995,32.8,1995-12-26
Europe,The Netherlands,,Amsterdam,12,27,1995,24.9,1995-12-27
Europe,The Netherlands,,Amsterdam,12,28,1995,22.1,1995-12-28
Europe,The Netherlands,,Amsterdam,12,29,1995,22.2,1995-12-29
Europe,The Netherlands,,Amsterdam,12,30,1995,21.7,1995-12-30
Europe,The Netherlands,,Amsterdam,12,31,1995,27.3,1995-12-31
Europe,The Netherlands,,Amsterdam,1,1,1996,28.9,1996-01-01
Europe,The Netherlands,,Amsterdam,1,2,1996,28.2,1996-01-02
Europe,The Netherlands,,Amsterdam,1,3,1996,29.4,1996-01-03
Europe,The Netherlands,,Amsterdam,1,4,1996,32.4,1996-01-04
Europe,The Netherlands,,Amsterdam,1,5,1996,30.3,1996-01-05
Europe,The Netherlands,,Amsterdam,1,6,1996,26.4,1996-01-06
Europe,The Netherlands,,Amsterdam,1,7,1996,37.2,1996-01-07
Europe,The Netherlands,,Amsterdam,1,8,1996,40.9,1996-01-08
Europe,The Netherlands,,Amsterdam,1,9,1996,41.2,1996-01-09
Europe,The Netherlands,,Amsterdam,1,10,1996,41.3,1996-01-10
Europe,The Netherlands,,Amsterdam,1,11,1996,43.5,1996-01-11
Europe,The Netherlands,,Amsterdam,1,12,1996,47.5,1996-01-12
Europe,The Netherlands,,Amsterdam,1,13,1996,46.1,1996-01-13
