Region,Country,State,City,Month,Day,Year,AvgTemperature,,Date,,,,
North America,US,Alaska,Anchorage,7,18,1995,60.4,,1995-07-18,,,,
North America,US,Alaska,Anchorage,7,19,1995,62.8,,1995-07-19,,,,
North America,US,Alaska,Anchorage,7,20,1995,63.5,,1995-07-20,,,,
North America,US,Alaska,Anchorage,7,21,1995,61.5,,1995-07-21,,,,
North America,US,Alaska,Anchorage,7,22,1995,57.3,,1995-07-22,,,,
North America,US,Alaska,Anchorage,7,23,1995,56.6,,1995-07-23,,,,
North America,US,Alaska,Anchorage,7,24,1995,54.7,,1995-07-24,,,,
North America,US,Alaska,Anchorage,7,25,1995,53.2,,1995-07-25,,,,
North America,US,Alaska,Anchorage,7,26,1995,55.5,,1995-07-26,,,,
North America,US,Alaska,Anchorage,7,27,1995,59,,1995-07-27,,,,
North America,US,Alaska,Anchorage,7,28,1995,61.1,,1995-07-28,,,,
North America,US,Alaska,Anchorage,7,29,1995,57.9,,1995-07-29,,,,
North America,US,Alaska,Anchorage,7,30,1995,54.8,,1995-07-30,,,,
North America,US,Alaska,Anchorage,7,31,1995,56.3,,1995-07-31,,,,
North America,US,Alaska,Anchorage,8,1,1995,57.8,,1995-08-01,,,,
North America,US,Alaska,Anchorage,8,2,1995,55.4,,1995-08-02,,,,
North America,US,Alaska,Anchorage,8,3,1995,54.7,,1995-08-03,,,,
North America,US,Alaska,Anchorage,8,4,1995,57.8,,1995-08-04,,,,
North America,US,Alaska,Anchorage,8,5,1995,59.9,,1995-08-05,,,,
North America,US,Alaska,Anchorage,8,6,1995,58.4,,1995-08-06,,,,
North America,US,Alaska,Anchorage,8,7,1995,56.8,,1995-08-07,,,,
North America,US,Alaska,Anchorage,8,8,1995,56.8,,1995-08-08,,,,
North America,US,Alaska,Anchorage,8,9,1995,57.3,,1995-08-09,,,,
North America,US,Alaska,Anchorage,8,10,1995,54.6,,1995-08-10,,,,
North America,US,Alaska,Anchorage,8,11,1995,56.8,,1995-08-11,,,,
North America,US,Alaska,Anchorage,8,12,1995,57.5,,1995-08-12,,,,
North America,US,Alaska,Anchorage,8,13,1995,54.2,,1995-08-13,,,,
North America,US,Alaska,Anchorage,8,14,1995,56.3,,1995-08-14,,,,
North America,US,Alaska,Anchorage,8,15,1995,57.7,,1995-08-15,,,,
North America,US,Alaska,Anchorage,8,16,1995,58.5,,1995-08-16,,,,
North America,US,Alaska,Anchorage,8,17,1995,59,,1995-08-17,,,,
North America,US,Alaska,Anchorage,8,18,1995,59.6,,1995-08-18,,,,
North America,US,Alaska,Anchorage,8,19,1995,59.3,,1995-08-19,,,,
North America,US,Alaska,Anchorage,8,20,1995,60,,1995-08-20,,,,
North America,US,Alaska,Anchorage,8,21,1995,61.1,,1995-08-21,,,,
North America,US,Alaska,Anchorage,8,22,1995,60.9,,1995-08-22,,,,
North America,US,Alaska,Anchorage,8,23,1995,58.4,,1995-08-23,,,,
North America,US,Alaska,Anchorage,8,24,1995,59.6,,1995-08-24,,,,
North America,US,Alaska,Anchorage,8,25,1995,59.5,,1995-08-25,,,,
North America,US,Alaska,Anchorage,8,26,1995,57.5,,1995-08-26,,,,
North America,US,Alaska,Anchorage,8,27,1995,56,,1995-08-27,,,,
North America,US,Alaska,Anchorage,8,28,1995,56.2,,1995-08-28,,,,
North America,US,Alaska,Anchorage,8,29,1995,57.3,,1995-08-29,,,,
North America,US,Alaska,Anchorage,8,30,1995,55.7,,1995-08-30,,,,
North America,US,Alaska,Anchorage,8,31,1995,54.7,,1995-08-31,,,,
North America,US,Alaska,Anchorage,9,1,1995,53.6,,1995-09-01,,,,
North America,US,Alaska,Anchorage,9,2,1995,52.4,,1995-09-02,,,,
North America,US,Alaska,Anchorage,9,3,1995,56.9,,1995-09-03,,,,
North America,US,Alaska,Anchorage,9,4,1995,56.2,,1995-09-04,,,,
North America,US,Alaska,Anchorage,9,5,1995,54,,1995-09-05,,,,
North America,US,Alaska,Anchorage,9,6,1995,53.9,,1995-09-06,,,,
North America,US,Alaska,Anchorage,9,7,1995,53.6,,1995-09-07,,,,
North America,US,Alaska,Anchorage,9,8,1995,54.1,,1995-09-08,,,,
North America,US,Alaska,Anchorage,9,9,1995,54.5,,1995-09-09,,,,
North America,US,Alaska,Anchorage,9,10,1995,52.6,,1995-09-10,,,,
North America,US,Alaska,Anchorage,9,11,1995,52.3,,1995-09-11,,,,
North America,US,Alaska,Anchorage,9,12,1995,53.1,,1995-09-12,,,,
North America,US,Alaska,Anchorage,9,13,1995,55,,1995-09-13,,,,
North America,US,Alaska,Anchorage,9,14,1995,49.5,,1995-09-14,,,,
North America,US,Alaska,Anchorage,9,15,1995,50.8,,1995-09-15,,,,
North America,US,Alaska,Anchorage,9,16,1995,51.9,,1995-09-16,,,,
North America,US,Alaska,Anchorage,9,17,1995,54.8,,1995-09-17,,,,
North America,US,Alaska,Anchorage,9,18,1995,56.6,,1995-09-18,,,,
North America,US,Alaska,Anchorage,9,19,1995,55.1,,1995-09-19,,,,
North America,US,Alaska,Anchorage,9,20,1995,56.7,,1995-09-20,,,,
North America,US,Alaska,Anchorage,9,21,1995,56.7,,1995-09-21,,,,
North America,US,Alaska,Anchorage,9,22,1995,59.5,,1995-09-22,,,,
North America,US,Alaska,Anchorage,9,23,1995,54.1,,1995-09-23,,,,
North America,US,Alaska,Anchorage,9,24,1995,51.6,,1995-09-24,,,,
North America,US,Alaska,Anchorage,9,25,1995,52.3,,1995-09-25,,,,
North America,US,Alaska,Anchorage,9,26,1995,52.9,,1995-09-26,,,,
North America,US,Alaska,Anchorage,9,27,1995,52.1,,1995-09-27,,,,
North America,US,Alaska,Anchorage,9,28,1995,47.6,,1995-09-28,,,,
North America,US,Alaska,Anchorage,9,29,1995,47.8,,1995-09-29,,,,
North America,US,Alaska,Anchorage,9,30,1995,46,,1995-09-30,,,,
North America,US,Alaska,Anchorage,10,1,1995,46.9,,1995-10-01,,,,
North America,US,Alaska,Anchorage,10,2,1995,45.9,,1995-10-02,,,,
North America,US,Alaska,Anchorage,10,3,1995,46.6,,1995-10-03,,,,
North America,US,Alaska,Anchorage,10,4,1995,43.7,,1995-10-04,,,,
North America,US,Alaska,Anchorage,10,5,1995,43.9,,1995-10-05,,,,
North America,US,Alaska,Anchorage,10,6,1995,39.1,,1995-10-06,,,,
North America,US,Alaska,Anchorage,10,7,1995,43.4,,1995-10-07,,,,
North America,US,Alaska,Anchorage,10,8,1995,42.7,,1995-10-08,,,,
North America,US,Alaska,Anchorage,10,9,1995,44,,1995-10-09,,,,
North America,US,Alaska,Anchorage,10,10,1995,44.5,,1995-10-10,,,,
North America,US,Alaska,Anchorage,10,11,1995,40.1,,1995-10-11,,,,
North America,US,Alaska,Anchorage,10,12,1995,39,,1995-10-12,,,,
North America,US,Alaska,Anchorage,10,13,1995,34.3,,1995-10-13,,,,
North America,US,Alaska,Anchorage,10,14,1995,31.8,,1995-10-14,,,,
North America,US,Alaska,Anchorage,10,15,1995,33.1,,1995-10-15,,,,
North America,US,Alaska,Anchorage,10,16,1995,33,,1995-10-16,,,,
North America,US,Alaska,Anchorage,10,17,1995,33.3,,1995-10-17,,,,
North America,US,Alaska,Anchorage,10,18,1995,32,,1995-10-18,,,,
North America,US,Alaska,Anchorage,10,19,1995,35.8,,1995-10-19,,,,
North America,US,Alaska,Anchorage,10,20,1995,38.3,,1995-10-20,,,,
North America,US,Alaska,Anchorage,10,21,1995,37.8,,1995-10-21,,,,
North America,US,Alaska,Anchorage,10,22,1995,37.4,,1995-10-22,,,,
North America,US,Alaska,Anchorage,10,23,1995,37.8,,1995-10-23,,,,
North America,US,Alaska,Anchorage,10,24,1995,36.7,,1995-10-24,,,,
North America,US,Alaska,Anchorage,10,25,1995,35.5,,1995-10-25,,,,
North America,US,Alaska,Anchorage,10,26,1995,37.6,,1995-10-26,,,,
North America,US,Alaska,Anchorage,10,27,1995,33.3,,1995-10-27,,,,
North America,US,Alaska,Anchorage,10,28,1995,29.3,,1995-10-28,,,,
North America,US,Alaska,Anchorage,10,29,1995,34.4,,1995-10-29,,,,
North America,US,Alaska,Anchorage,10,30,1995,39.2,,1995-10-30,,,,
North America,US,Alaska,Anchorage,10,31,1995,35,,1995-10-31,,,,
North America,US,Alaska,Anchorage,11,1,1995,38.8,,1995-11-01,,,,
North America,US,Alaska,Anchorage,11,2,1995,35.9,,1995-11-02,,,,
North America,US,Alaska,Anchorage,11,3,1995,35.3,,1995-11-03,,,,
North America,US,Alaska,Anchorage,11,4,1995,32.5,,1995-11-04,,,,
North America,US,Alaska,Anchorage,11,5,1995,29.2,,1995-11-05,,,,
North America,US,Alaska,Anchorage,11,6,1995,25.6,,1995-11-06,,,,
North America,US,Alaska,Anchorage,11,7,1995,20.4,,1995-11-07,,,,
North America,US,Alaska,Anchorage,11,8,1995,15.4,,1995-11-08,,,,
North America,US,Alaska,Anchorage,11,9,1995,20.2,,1995-11-09,,,,
North America,US,Alaska,Anchorage,11,10,1995,25.3,,1995-11-10,,,,
North America,US,Alaska,Anchorage,11,11,1995,20,,1995-11-11,,,,
North America,US,Alaska,Anchorage,11,12,1995,15.1,,1995-11-12,,,,
North America,US,Alaska,Anchorage,11,13,1995,13.5,,1995-11-13,,,,
North America,US,Alaska,Anchorage,11,14,1995,12.9,,1995-11-14,,,,
North America,US,Alaska,Anchorage,11,15,1995,14.3,,1995-11-15,,,,
North America,US,Alaska,Anchorage,11,16,1995,17.9,,1995-11-16,,,,
North America,US,Alaska,Anchorage,11,17,1995,26.5,,1995-11-17,,,,
North America,US,Alaska,Anchorage,11,18,1995,26.5,,1995-11-18,,,,
North America,US,Alaska,Anchorage,11,19,1995,28.8,,1995-11-19,,,,
North America,US,Alaska,Anchorage,11,20,1995,26.2,,1995-11-20,,,,
North America,US,Alaska,Anchorage,11,21,1995,23.4,,1995-11-21,,,,
North America,US,Alaska,Anchorage,11,22,1995,28.1,,1995-11-22,,,,
North America,US,Alaska,Anchorage,11,23,1995,29.6,,1995-11-23,,,,
North America,US,Alaska,Anchorage,11,24,1995,20.4,,1995-11-24,,,,
North America,US,Alaska,Anchorage,11,25,1995,16.6,,1995-11-25,,,,
North America,US,Alaska,Anchorage,11,26,1995,13.5,,1995-11-26,,,,
North America,US,Alaska,Anchorage,11,27,1995,10,,1995-11-27,,,,
North America,US,Alaska,Anchorage,11,28,1995,10.2,,1995-11-28,,,,
North America,US,Alaska,Anchorage,11,29,1995,10.2,,1995-11-29,,,,
North America,US,Alaska,Anchorage,11,30,1995,18.2,,1995-11-30,,,,
North America,US,Alaska,Anchorage,12,1,1995,11.9,,1995-12-01,,,,
North America,US,Alaska,Anchorage,12,2,1995,9.3,,1995-12-02,,,,
North America,US,Alaska,Anchorage,12,3,1995,1.4,,1995-12-03,,,,
North America,US,Alaska,Anchorage,12,4,1995,-2,,1995-12-04,,,,
North America,US,Alaska,Anchorage,12,5,1995,-2.2,,1995-12-05,,,,
North America,US,Alaska,Anchorage,12,6,1995,-4.7,,1995-12-06,,,,
North America,US,Alaska,Anchorage,12,7,1995,1.6,,1995-12-07,,,,
North America,US,Alaska,Anchorage,12,8,1995,11.3,,1995-12-08,,,,
North America,US,Alaska,Anchorage,12,9,1995,5.2,,1995-12-09,,,,
North America,US,Alaska,Anchorage,12,10,1995,15.3,,1995-12-10,,,,
North America,US,Alaska,Anchorage,12,11,1995,19,,1995-12-11,,,,
North America,US,Alaska,Anchorage,12,12,1995,22.8,,1995-12-12,,,,
North America,US,Alaska,Anchorage,12,13,1995,20.5,,1995-12-13,,,,
North America,US,Alaska,Anchorage,12,14,1995,22.5,,1995-12-14,,,,
North America,US,Alaska,Anchorage,12,15,1995,20.6,,1995-12-15,,,,
North America,US,Alaska,Anchorage,12,16,1995,24.5,,1995-12-16,,,,
North America,US,Alaska,Anchorage,12,17,1995,28.2,,1995-12-17,,,,
North America,US,Alaska,Anchorage,12,18,1995,23.7,,1995-12-18,,,,
North America,US,Alaska,Anchorage,12,19,1995,27,,1995-12-19,,,,
North America,US,Alaska,Anchorage,12,20,1995,27.7,,1995-12-20,,,,
North America,US,Alaska,Anchorage,12,21,1995,27.7,,1995-12-21,,,,
North America,US,Alaska,Anchorage,12,22,1995,25.7,,1995-12-22,,,,
North America,US,Alaska,Anchorage,12,23,1995,30.8,,1995-12-23,,,,
North America,US,Alaska,Anchorage,12,24,1995,29.1,,1995-12-24,,,,
